Marker,Cell_Type,Cell_Type2,Subset_Type,Subset_Type2,Paper,Notes
IGHD,B_cell,,naïve,plasmablast,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,Detected in B-cells 
CD27,,,B_cell memory(low naïve),,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,Detected in T-cells and B-cells 
IGLL3P,B_cell,,plasmablast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,cannot find information 
GUSBP11,B_cell,,plasmablast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,cannot find information 
TNFRSF17,B_cell,,plasmablast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in B-cells and dendritic cells 
LOC100130100,B_cell,,plasmablast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,cannot find information 
IGHE,B_cell,,plasmablast,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,not detected in immune cells 
KLRB1,T_cell,NK,deltagamma_Tcell,resting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in t-cells and NK-cells 
CCL4,NK,,activated,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in t-cells 
DEFA4,NK,,resting,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in neutrophils 
FCN1,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,monocytes and neutrophils 
MS4A6A,Monocyte,Macrophage,M2,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,Detected in monocytes and dendritic cells
MMP9,Macrophage,,M0,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in neutrophils 
CYP27A1,Macrophage,,M0,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,Detected in monocytes and neutrophils 
CXCL9,Macrophage,,M1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,not detected in immune cells 
CCL19,Macrophage,,M1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,not detected in immune cells 
CXCL10,Macrophage,,M1,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,Detected in monocytes 
CCL18,Macrophage,,M2,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,not detected in immune cells
AIF1,Macrophage,Neutrophil,M2,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,"detected in monocytes, neutrophils, and dendritic cells "
MSR1,Macrophage,,M2,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in monocytes 
CD1B,Dendritic,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in dendritic cells 
CD1A,Dendritic,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,"detected in dendritic cells, B-cells, and monocytes "
HLA-DQA1,Dendritic,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,"detected in dendritic, B-cells, and monocytes "
CCL22,Dendritic,,activated,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in many but low 
LAMP3,Dendritic,,activated,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in eosinophils and t-cells 
CAP3,Mast,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,cannot find information 
C3AR1,Mast,Eosinophil,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,"detected in basophils, eosinophils,and monocytes"
IL1B,Mast,,activated,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5895181/,detected in neutrophils 
